1,xyz: 1 2 1
0,./a.out
Device:,wlp2s0
=== Transmission ===
SSID,BSSID,RSSI,COUNT,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
Empty,8C:1E:80:9D:CD:02,-78,3,3,108,45,16,48,0,110,0,0
Empty,8C:1E:80:9D:CD:02,-78,3,3,108,63,16,48,0,128,0,0
Empty,8C:1E:80:9D:CD:02,-78,3,3,108,126,16,48,0,191,0,0
Empty,8C:1E:80:9D:CD:03,-78,3,3,108,182,16,48,0,247,0,0
Empty,8C:1E:80:9D:CD:03,-78,3,3,108,51,16,48,0,116,0,0
Empty,8C:1E:80:9D:CD:03,-79,3,3,108,79,16,48,0,144,0,0
Empty,8C:1E:80:9D:CD:03,-78,3,3,108,218,16,48,0,27,0,0
Empty,3C:41:0E:FF:17:00,-84,3,3,108,188,16,48,0,253,0,0
Empty,3C:41:0E:FF:17:00,-85,3,3,108,121,16,48,0,187,0,0
Empty,3C:41:0E:FF:17:02,-84,3,3,108,24,16,48,0,89,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,209,16,48,0,18,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,0,16,48,0,66,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,0,16,48,0,65,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,0,16,48,0,66,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,108,16,48,0,173,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,114,16,48,0,179,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,136,16,48,0,201,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,208,16,48,0,17,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,92,16,48,0,157,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,146,16,48,0,211,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,128,16,48,0,193,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,47,16,48,0,112,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,57,16,48,0,122,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,52,16,48,0,118,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,52,16,48,0,117,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,52,16,48,0,118,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,50,16,48,0,115,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,43,16,48,0,108,0,0
Empty,8C:1E:80:9D:CD:03,-77,3,3,108,187,16,48,0,253,0,0
Empty,3C:41:0E:FF:17:04,-83,3,3,108,205,16,48,0,14,0,0
Empty,3C:41:0E:FF:17:00,-84,3,3,108,77,16,48,0,143,0,0
Empty,3C:41:0E:FF:17:02,-84,3,3,108,188,16,48,0,253,0,0
Empty,3C:41:0E:FF:17:02,-85,3,3,108,154,16,48,0,219,0,0
Empty,3C:41:0E:FF:17:04,-84,3,3,108,29,16,48,0,94,0,0
Empty,40:C7:29:FB:48:26,-88,3,3,108,160,16,2,0,225,0,0
Empty,40:C7:29:FB:48:26,-88,3,3,108,182,16,2,0,247,0,0
Empty,40:C7:29:FB:48:26,-88,3,3,108,167,16,2,0,233,0,0
Empty,40:C7:29:FB:48:26,-88,3,3,108,19,16,2,0,84,0,0
VIDEOTRON2106,3C:8D:20:58:74:03,-79,3,3,108,18,16,2,0,84,0,0
VIDEOTRON2106,3C:8D:20:58:74:03,-80,3,3,108,246,16,2,0,55,0,0
VIDEOTRON2106,3C:8D:20:58:74:03,-80,3,3,108,106,16,2,0,171,0,0
VIDEOTRON2106,3C:8D:20:58:74:03,-80,3,3,108,243,16,2,0,52,0,0
Empty,3C:8D:20:58:74:03,-79,3,3,108,249,16,2,0,58,0,0
Empty,3C:8D:20:58:74:03,-80,3,3,108,201,16,2,0,10,0,0
Empty,3C:8D:20:58:74:03,-80,3,3,108,214,16,2,0,23,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,42,16,48,0,107,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,97,16,48,0,162,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,111,16,48,0,176,0,0
Empty,8C:1E:80:9D:CD:03,-75,3,3,108,134,16,48,0,199,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,63,16,48,0,128,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,23,16,48,0,88,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,76,16,48,0,141,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,131,16,48,0,197,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,141,16,48,0,206,0,0
Empty,8C:1E:80:9D:CD:03,-75,3,3,108,75,16,48,0,140,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,138,16,48,0,203,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,191,16,48,0,0,0,0
Empty,3C:41:0E:FF:17:00,-84,3,3,108,175,16,48,0,240,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,87,16,48,0,152,0,0
Empty,3C:41:0E:FF:17:00,-84,3,3,108,1,16,48,0,66,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,224,16,48,0,33,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,234,16,48,0,44,0,0
Empty,3C:41:0E:FF:17:02,-85,3,3,108,154,16,48,0,219,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,79,16,48,0,144,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,105,16,48,0,170,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,42,16,48,0,107,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,114,16,48,0,179,0,0
Empty,3C:41:0E:FF:17:00,-84,3,3,108,54,16,48,0,119,0,0
Empty,8C:1E:80:9D:CD:02,-75,3,3,108,65,16,48,0,131,0,0
Empty,3C:41:0E:FF:17:00,-84,3,3,108,32,16,48,0,97,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,2,16,48,0,67,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,191,16,48,0,0,0,0
Empty,3C:41:0E:FF:17:04,-85,3,3,108,25,16,48,0,91,0,0
Empty,8C:1E:80:9D:CD:03,-75,3,3,108,23,16,48,0,88,0,0
Empty,3C:41:0E:FF:17:00,-85,3,3,108,225,16,48,0,34,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,145,16,48,0,210,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,18,16,48,0,83,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,205,16,48,0,14,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,136,16,48,0,201,0,0
Empty,3C:41:0E:FF:17:02,-83,3,3,108,117,16,48,0,182,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,73,16,48,0,138,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,12,16,48,0,77,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,106,16,48,0,171,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,154,16,48,0,220,0,0
Empty,8C:1E:80:9D:CD:02,-77,3,3,108,181,16,48,0,246,0,0
Empty,3C:41:0E:FF:17:04,-84,3,3,108,118,16,48,0,184,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,36,16,48,0,101,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,69,16,48,0,135,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,123,16,48,0,188,0,0
Empty,3C:41:0E:FF:17:00,-84,3,3,108,240,16,48,0,49,0,0
Empty,3C:41:0E:FF:17:02,-85,3,3,108,249,16,48,0,58,0,0
Empty,3C:41:0E:FF:17:02,-83,3,3,108,54,16,48,0,120,0,0
Empty,3C:41:0E:FF:17:02,-84,3,3,108,81,16,48,0,146,0,0
Empty,3C:41:0E:FF:17:02,-83,3,3,108,80,16,48,0,146,0,0
Empty,3C:41:0E:FF:17:04,-84,3,3,108,93,16,48,0,158,0,0
Empty,3C:41:0E:FF:17:04,-83,3,3,108,106,16,48,0,171,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,94,16,48,0,159,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,85,16,48,0,150,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,21,16,48,0,86,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,234,16,48,0,44,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,252,16,48,0,61,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,25,16,48,0,91,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,242,16,48,0,51,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,242,16,48,0,52,0,0
Empty,40:C7:29:FB:48:26,-88,3,3,108,136,16,2,0,201,0,0
Empty,40:C7:29:FB:48:26,-89,3,3,108,135,16,2,0,201,0,0
Empty,40:C7:29:FB:48:26,-87,3,3,108,184,16,2,0,249,0,0
Empty,3C:41:0E:FF:17:00,-83,3,3,108,80,16,48,0,145,0,0
Empty,3C:41:0E:FF:17:02,-84,3,3,108,191,16,48,0,0,0,0
Empty,3C:41:0E:FF:17:04,-84,3,3,108,81,16,48,0,146,0,0
Empty,3C:41:0E:FF:17:04,-83,3,3,108,207,16,48,0,16,0,0
Empty,3C:41:0E:FF:17:04,-84,3,3,108,218,16,48,0,27,0,0
Empty,3C:41:0E:FF:17:04,-85,3,3,108,213,16,48,0,22,0,0
Empty,3C:41:0E:FF:17:02,-84,3,3,108,68,16,48,0,133,0,0
Empty,3C:41:0E:FF:17:02,-84,3,3,108,35,16,48,0,100,0,0
Empty,3C:41:0E:FF:17:04,-83,3,3,108,2,16,48,0,68,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,126,16,48,0,191,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,163,16,48,0,229,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,172,16,48,0,237,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,172,16,48,0,237,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,210,16,48,0,19,0,0
Empty,8C:1E:80:9D:CD:03,-75,3,3,108,181,16,48,0,246,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,199,16,48,0,8,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,139,16,48,0,205,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,196,16,48,0,5,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,214,16,48,0,23,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,223,16,48,0,32,0,0
Empty,8C:1E:80:9D:CD:02,-76,3,3,108,88,16,48,0,153,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,97,16,48,0,162,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,106,16,48,0,171,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,167,16,48,0,232,0,0
Empty,8C:1E:80:9D:CD:03,-76,3,3,108,20,16,48,0,85,0,0
