1,xyz: 6 0 8
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
3C:41:0E:FF:20:02,-79,3,3,108,210,16,48,0,19,4294967295,4294967295
3C:41:0E:FF:20:02,-78,3,3,108,137,16,48,0,202,4294967295,4294967295
3C:41:0E:FF:20:02,-78,3,3,108,145,16,48,0,210,4294967295,4294967295
3C:41:0E:FF:20:02,-79,3,3,108,177,16,48,0,242,4294967295,4294967295
3C:41:0E:FF:20:04,-78,3,3,108,182,16,48,0,247,4294967295,4294967295
3C:41:0E:FF:20:04,-79,3,3,108,139,16,48,0,204,4294967295,4294967295
3C:41:0E:FF:20:04,-79,3,3,108,148,16,48,0,213,4294967295,4294967295
7F:4C:9F:7A:00:00,-81,3,3,108,226,16,48,0,35,4294967295,4294967295
A4:88:73:9C:AD:00,-78,3,3,108,7,16,48,0,73,4294967295,4294967295
A4:88:73:9C:AD:01,-79,3,3,108,152,16,48,0,217,4294967295,4294967295
A4:88:73:9C:AD:02,-80,3,3,108,52,16,48,0,117,4294967295,4294967295
A4:88:73:9C:AD:04,-79,3,3,108,197,16,48,0,7,4294967295,4294967295
3C:41:0E:FE:F4:81,-86,3,3,108,126,16,48,0,192,4294967295,4294967295
C4:5E:77:DF:00:00,-85,3,3,108,206,16,48,0,16,4294967295,4294967295
3C:41:0E:FF:23:80,-77,3,3,108,5,16,48,0,70,4294967295,4294967295
3C:41:0E:FF:23:81,-78,3,3,108,150,16,48,0,215,4294967295,4294967295
3C:41:0E:FF:23:82,-77,3,3,108,50,16,48,0,115,4294967295,4294967295
3C:41:0E:FF:23:84,-78,3,3,108,195,16,48,0,5,4294967295,4294967295
C4:5E:77:DF:00:00,-85,3,3,108,242,16,24,0,52,4294967295,4294967295
A5:7B:A7:5C:00:00,-85,3,3,108,200,16,48,0,10,4294967295,4294967295
3C:41:0E:FF:20:00,-78,3,3,108,191,16,48,0,0,4294967295,4294967295
3C:41:0E:FF:20:01,-79,3,3,108,80,16,48,0,145,4294967295,4294967295
3C:41:0E:FF:20:02,-79,3,3,108,236,16,48,0,45,4294967295,4294967295
3C:41:0E:FF:20:04,-79,3,3,108,125,16,48,0,191,4294967295,4294967295
C8:84:A1:CE:B5:40,-83,3,3,108,223,16,48,0,32,4294967295,4294967295
C8:84:A1:CE:B5:41,-82,3,3,108,112,16,48,0,177,4294967295,4294967295
C8:84:A1:CE:B5:42,-82,3,3,108,13,16,48,0,78,4294967295,4294967295
